task_id,workload,crp_id,node_id,crp_type,fraction,price,payment,cost,crp_profit
task_1,0.134224,crp_1,node_1,price_setting,0.092129,3.340388,0.000511,0.000464,4.7e-05
task_1,0.134224,crp_2,node_2,price_setting,0.080389,3.380863,0.000394,0.000357,3.7e-05
task_1,0.134224,crp_3,node_3,price_taking,0.011361,0.02676,4.1e-05,2e-05,2e-05
task_1,0.134224,crp_4,node_4,price_setting,0.088698,3.462135,0.000491,0.000444,4.7e-05
task_1,0.134224,crp_5,node_5,price_taking,0.009287,0.023161,2.9e-05,1.4e-05,1.4e-05
task_1,0.134224,crp_6,node_6,price_taking,0.012142,0.031122,5.1e-05,2.5e-05,2.5e-05
task_1,0.134224,crp_7,node_7,price_setting,0.089114,3.584819,0.000513,0.000462,5.1e-05
task_1,0.134224,crp_8,node_8,price_taking,0.009913,0.026783,3.6e-05,1.8e-05,1.8e-05
task_1,0.134224,crp_9,node_9,price_taking,0.011131,0.030844,4.6e-05,2.3e-05,2.3e-05
task_1,0.134224,crp_10,node_10,price_taking,0.00775,0.022012,2.3e-05,1.1e-05,1.1e-05
task_1,0.134224,crp_11,node_11,price_taking,0.010216,0.029725,4.1e-05,2e-05,2e-05
task_1,0.134224,crp_12,node_12,price_taking,0.007823,0.023304,2.4e-05,1.2e-05,1.2e-05
task_1,0.134224,crp_13,node_13,price_taking,0.009275,0.028273,3.5e-05,1.8e-05,1.8e-05
task_1,0.134224,crp_14,node_14,price_taking,0.006673,0.020804,1.9e-05,9e-06,9e-06
task_1,0.134224,crp_15,node_15,price_setting,0.068265,3.916552,0.000329,0.000292,3.6e-05
task_1,0.134224,crp_16,node_16,price_taking,0.008462,0.027552,3.1e-05,1.6e-05,1.6e-05
task_1,0.134224,crp_17,node_17,price_taking,0.007434,0.024719,2.5e-05,1.2e-05,1.2e-05
task_1,0.134224,crp_18,node_18,price_taking,0.007965,0.027037,2.9e-05,1.4e-05,1.4e-05
task_1,0.134224,crp_19,node_19,price_taking,0.007489,0.025939,2.6e-05,1.3e-05,1.3e-05
task_1,0.134224,crp_20,node_20,price_setting,0.078389,4.127272,0.000457,0.000404,5.3e-05
task_1,0.134224,crp_21,node_21,price_setting,0.07121,4.169726,0.000381,0.000336,4.5e-05
task_1,0.134224,crp_22,node_22,price_taking,0.008575,0.031486,3.6e-05,1.8e-05,1.8e-05
task_1,0.134224,crp_23,node_23,price_taking,0.008464,0.031665,3.6e-05,1.8e-05,1.8e-05
task_1,0.134224,crp_24,node_24,price_setting,0.068211,4.297717,0.00036,0.000316,4.4e-05
task_1,0.134224,crp_25,node_25,price_taking,0.006911,0.026811,2.5e-05,1.2e-05,1.2e-05
task_1,0.134224,crp_26,node_26,price_taking,0.006882,0.027177,2.5e-05,1.3e-05,1.3e-05
task_1,0.134224,crp_27,node_27,price_setting,0.069122,4.426646,0.000381,0.000333,4.8e-05
task_1,0.134224,crp_28,node_28,price_setting,0.05994,4.469828,0.000289,0.000253,3.7e-05
task_1,0.134224,crp_29,node_29,price_setting,0.071669,4.513118,0.000418,0.000364,5.3e-05
task_1,0.134224,crp_30,node_30,price_taking,0.005111,0.021598,1.5e-05,7e-06,7e-06
task_2,0.621882,crp_1,node_1,price_setting,0.074582,3.340553,0.007186,0.006523,0.000663
task_2,0.621882,crp_2,node_2,price_setting,0.071769,3.381018,0.006735,0.006105,0.00063
task_2,0.621882,crp_3,node_3,price_taking,0.013083,0.142778,0.001162,0.000581,0.000581
task_2,0.621882,crp_4,node_4,price_setting,0.071929,3.462287,0.006928,0.006261,0.000667
task_2,0.621882,crp_5,node_5,price_taking,0.012096,0.139765,0.001051,0.000526,0.000526
task_2,0.621882,crp_6,node_6,price_taking,0.01233,0.146429,0.001123,0.000561,0.000561
task_2,0.621882,crp_7,node_7,price_setting,0.070094,3.584962,0.006812,0.006129,0.000682
task_2,0.621882,crp_8,node_8,price_taking,0.011407,0.142797,0.001013,0.000507,0.000507
task_2,0.621882,crp_9,node_9,price_taking,0.011387,0.146196,0.001035,0.000518,0.000518
task_2,0.621882,crp_10,node_10,price_taking,0.010547,0.138803,0.00091,0.000455,0.000455
task_2,0.621882,crp_11,node_11,price_taking,0.010775,0.145259,0.000973,0.000487,0.000487
task_2,0.621882,crp_12,node_12,price_taking,0.010135,0.139884,0.000882,0.000441,0.000441
task_2,0.621882,crp_13,node_13,price_taking,0.010199,0.144043,0.000914,0.000457,0.000457
task_2,0.621882,crp_14,node_14,price_taking,0.00954,0.137791,0.000817,0.000409,0.000409
task_2,0.621882,crp_15,node_15,price_setting,0.061758,3.916662,0.005777,0.005139,0.000638
task_2,0.621882,crp_16,node_16,price_taking,0.009508,0.143439,0.000848,0.000424,0.000424
task_2,0.621882,crp_17,node_17,price_taking,0.009156,0.141068,0.000803,0.000402,0.000402
task_2,0.621882,crp_18,node_18,price_taking,0.009093,0.143008,0.000809,0.000404,0.000404
task_2,0.621882,crp_19,node_19,price_taking,0.008854,0.142089,0.000782,0.000391,0.000391
task_2,0.621882,crp_20,node_20,price_setting,0.061064,4.127375,0.005952,0.005257,0.000695
task_2,0.621882,crp_21,node_21,price_setting,0.059289,4.169825,0.005669,0.004999,0.000669
task_2,0.621882,crp_22,node_22,price_taking,0.008625,0.146732,0.000787,0.000394,0.000394
task_2,0.621882,crp_23,node_23,price_taking,0.008474,0.146881,0.000774,0.000387,0.000387
task_2,0.621882,crp_24,node_24,price_setting,0.057365,4.297809,0.00547,0.004803,0.000666
task_2,0.621882,crp_25,node_25,price_taking,0.007946,0.142818,0.000706,0.000353,0.000353
task_2,0.621882,crp_26,node_26,price_taking,0.007823,0.143124,0.000696,0.000348,0.000348
task_2,0.621882,crp_27,node_27,price_setting,0.056218,4.426732,0.005411,0.004731,0.000679
task_2,0.621882,crp_28,node_28,price_setting,0.054137,4.469909,0.005066,0.004424,0.000642
task_2,0.621882,crp_29,node_29,price_setting,0.05584,4.513202,0.005442,0.004746,0.000697
task_2,0.621882,crp_30,node_30,price_taking,0.007071,0.138453,0.000609,0.000304,0.000304
task_3,0.919618,crp_1,node_1,price_setting,0.075229,3.340772,0.015989,0.014513,0.001477
task_3,0.919618,crp_2,node_2,price_setting,0.072751,3.381223,0.015134,0.013717,0.001418
task_3,0.919618,crp_3,node_3,price_taking,0.013406,0.216338,0.002667,0.001334,0.001334
task_3,0.919618,crp_4,node_4,price_setting,0.072555,3.462489,0.015415,0.01393,0.001485
task_3,0.919618,crp_5,node_5,price_taking,0.012447,0.212684,0.002434,0.001217,0.001217
task_3,0.919618,crp_6,node_6,price_taking,0.012571,0.220768,0.002552,0.001276,0.001276
task_3,0.919618,crp_7,node_7,price_setting,0.070584,3.58515,0.015106,0.013592,0.001514
task_3,0.919618,crp_8,node_8,price_taking,0.011688,0.216361,0.002326,0.001163,0.001163
task_3,0.919618,crp_9,node_9,price_taking,0.011613,0.220484,0.002355,0.001177,0.001177
task_3,0.919618,crp_10,node_10,price_taking,0.010869,0.211516,0.002114,0.001057,0.001057
task_3,0.919618,crp_11,node_11,price_taking,0.011003,0.219348,0.00222,0.00111,0.00111
task_3,0.919618,crp_12,node_12,price_taking,0.010428,0.212827,0.002041,0.00102,0.00102
task_3,0.919618,crp_13,node_13,price_taking,0.010432,0.217873,0.00209,0.001045,0.001045
task_3,0.919618,crp_14,node_14,price_taking,0.009845,0.210288,0.001904,0.000952,0.000952
task_3,0.919618,crp_15,node_15,price_setting,0.062635,3.916808,0.012995,0.011559,0.001436
task_3,0.919618,crp_16,node_16,price_taking,0.009734,0.217139,0.001944,0.000972,0.000972
task_3,0.919618,crp_17,node_17,price_taking,0.009405,0.214262,0.001853,0.000927,0.000927
task_3,0.919618,crp_18,node_18,price_taking,0.009314,0.216616,0.001855,0.000928,0.000928
task_3,0.919618,crp_19,node_19,price_taking,0.009081,0.215501,0.0018,0.0009,0.0009
task_3,0.919618,crp_20,node_20,price_setting,0.061455,4.127512,0.013183,0.011642,0.001541
task_3,0.919618,crp_21,node_21,price_setting,0.059883,4.169955,0.012646,0.011152,0.001494
task_3,0.919618,crp_22,node_22,price_taking,0.00879,0.221133,0.001788,0.000894,0.000894
task_3,0.919618,crp_23,node_23,price_taking,0.008635,0.221314,0.001757,0.000879,0.000879
task_3,0.919618,crp_24,node_24,price_setting,0.05797,4.29793,0.012215,0.010726,0.001488
task_3,0.919618,crp_25,node_25,price_taking,0.008141,0.216384,0.00162,0.00081,0.00081
task_3,0.919618,crp_26,node_26,price_taking,0.008012,0.216755,0.001597,0.000799,0.000799
task_3,0.919618,crp_27,node_27,price_setting,0.056712,4.426846,0.012041,0.010529,0.001512
task_3,0.919618,crp_28,node_28,price_setting,0.054902,4.470017,0.011395,0.00995,0.001445
task_3,0.919618,crp_29,node_29,price_setting,0.056199,4.513313,0.012055,0.010512,0.001543
task_3,0.919618,crp_30,node_30,price_taking,0.007291,0.211088,0.001415,0.000708,0.000708
task_4,0.268274,crp_1,node_1,price_setting,0.075513,3.340409,0.001371,0.001244,0.000126
task_4,0.268274,crp_2,node_2,price_setting,0.072461,3.380884,0.001278,0.001158,0.00012
task_4,0.268274,crp_3,node_3,price_taking,0.013128,0.061804,0.000218,0.000109,0.000109
task_4,0.268274,crp_4,node_4,price_setting,0.072823,3.462154,0.001321,0.001194,0.000127
task_4,0.268274,crp_5,node_5,price_taking,0.012107,0.060351,0.000196,9.8e-05,9.8e-05
task_4,0.268274,crp_6,node_6,price_taking,0.012407,0.063565,0.000212,0.000106,0.000106
task_4,0.268274,crp_7,node_7,price_setting,0.07103,3.584837,0.001302,0.001171,0.00013
task_4,0.268274,crp_8,node_8,price_taking,0.011447,0.061813,0.00019,9.5e-05,9.5e-05
task_4,0.268274,crp_9,node_9,price_taking,0.011457,0.063453,0.000195,9.8e-05,9.8e-05
task_4,0.268274,crp_10,node_10,price_taking,0.010549,0.059887,0.000169,8.5e-05,8.5e-05
task_4,0.268274,crp_11,node_11,price_taking,0.010833,0.063001,0.000183,9.2e-05,9.2e-05
task_4,0.268274,crp_12,node_12,price_taking,0.010146,0.060408,0.000164,8.2e-05,8.2e-05
task_4,0.268274,crp_13,node_13,price_taking,0.010245,0.062415,0.000172,8.6e-05,8.6e-05
task_4,0.268274,crp_14,node_14,price_taking,0.009533,0.059399,0.000152,7.6e-05,7.6e-05
task_4,0.268274,crp_15,node_15,price_setting,0.062329,3.916567,0.001095,0.000974,0.000121
task_4,0.268274,crp_16,node_16,price_taking,0.009546,0.062123,0.000159,8e-05,8e-05
task_4,0.268274,crp_17,node_17,price_taking,0.009175,0.06098,0.00015,7.5e-05,7.5e-05
task_4,0.268274,crp_18,node_18,price_taking,0.009126,0.061916,0.000152,7.6e-05,7.6e-05
task_4,0.268274,crp_19,node_19,price_taking,0.008879,0.061472,0.000146,7.3e-05,7.3e-05
task_4,0.268274,crp_20,node_20,price_setting,0.061896,4.127285,0.001138,0.001005,0.000133
task_4,0.268274,crp_21,node_21,price_setting,0.059977,4.169739,0.00108,0.000952,0.000127
task_4,0.268274,crp_22,node_22,price_taking,0.008682,0.063712,0.000148,7.4e-05,7.4e-05
task_4,0.268274,crp_23,node_23,price_taking,0.008531,0.063784,0.000146,7.3e-05,7.3e-05
task_4,0.268274,crp_24,node_24,price_setting,0.058013,4.29773,0.001041,0.000914,0.000127
task_4,0.268274,crp_25,node_25,price_taking,0.007973,0.061824,0.000132,6.6e-05,6.6e-05
task_4,0.268274,crp_26,node_26,price_taking,0.007852,0.061972,0.000131,6.5e-05,6.5e-05
task_4,0.268274,crp_27,node_27,price_setting,0.056909,4.426657,0.001032,0.000902,0.00013
task_4,0.268274,crp_28,node_28,price_setting,0.054639,4.469839,0.00096,0.000839,0.000122
task_4,0.268274,crp_29,node_29,price_setting,0.056601,4.513128,0.001041,0.000907,0.000133
task_4,0.268274,crp_30,node_30,price_taking,0.00707,0.059719,0.000113,5.7e-05,5.7e-05
task_5,0.468073,crp_1,node_1,price_setting,0.070937,3.340466,0.003683,0.003343,0.00034
task_5,0.468073,crp_2,node_2,price_setting,0.069692,3.380941,0.003598,0.003261,0.000337
task_5,0.468073,crp_3,node_3,price_taking,0.013275,0.109038,0.000678,0.000339,0.000339
task_5,0.468073,crp_4,node_4,price_setting,0.068439,3.462207,0.003553,0.003211,0.000342
task_5,0.468073,crp_5,node_5,price_taking,0.012483,0.10857,0.000634,0.000317,0.000317
task_5,0.468073,crp_6,node_6,price_taking,0.012262,0.109605,0.000629,0.000315,0.000315
task_5,0.468073,crp_7,node_7,price_setting,0.066229,3.584885,0.003445,0.0031,0.000345
task_5,0.468073,crp_8,node_8,price_taking,0.011573,0.109041,0.000591,0.000295,0.000295
task_5,0.468073,crp_9,node_9,price_taking,0.011338,0.109569,0.000582,0.000291,0.000291
task_5,0.468073,crp_10,node_10,price_taking,0.010946,0.10842,0.000555,0.000278,0.000278
task_5,0.468073,crp_11,node_11,price_taking,0.010784,0.109423,0.000552,0.000276,0.000276
task_5,0.468073,crp_12,node_12,price_taking,0.010453,0.108588,0.000531,0.000266,0.000266
task_5,0.468073,crp_13,node_13,price_taking,0.010276,0.109234,0.000525,0.000263,0.000263
task_5,0.468073,crp_14,node_14,price_taking,0.009959,0.108263,0.000505,0.000252,0.000252
task_5,0.468073,crp_15,node_15,price_setting,0.060127,3.916608,0.003102,0.002759,0.000343
task_5,0.468073,crp_16,node_16,price_taking,0.009612,0.109141,0.000491,0.000246,0.000246
task_5,0.468073,crp_17,node_17,price_taking,0.00938,0.108772,0.000478,0.000239,0.000239
task_5,0.468073,crp_18,node_18,price_taking,0.009214,0.109074,0.00047,0.000235,0.000235
task_5,0.468073,crp_19,node_19,price_taking,0.009018,0.108931,0.00046,0.00023,0.00023
task_5,0.468073,crp_20,node_20,price_setting,0.057565,4.12732,0.002996,0.002646,0.00035
task_5,0.468073,crp_21,node_21,price_setting,0.056741,4.169774,0.002941,0.002594,0.000347
task_5,0.468073,crp_22,node_22,price_taking,0.008564,0.109652,0.00044,0.00022,0.00022
task_5,0.468073,crp_23,node_23,price_taking,0.008407,0.109675,0.000432,0.000216,0.000216
task_5,0.468073,crp_24,node_24,price_setting,0.055018,4.297762,0.00285,0.002503,0.000347
task_5,0.468073,crp_25,node_25,price_taking,0.00806,0.109044,0.000411,0.000206,0.000206
task_5,0.468073,crp_26,node_26,price_taking,0.007922,0.109092,0.000405,0.000202,0.000202
task_5,0.468073,crp_27,node_27,price_setting,0.053524,4.426687,0.002778,0.00243,0.000349
task_5,0.468073,crp_28,node_28,price_setting,0.052689,4.469869,0.002719,0.002374,0.000345
task_5,0.468073,crp_29,node_29,price_setting,0.052643,4.513157,0.00274,0.002389,0.000351
task_5,0.468073,crp_30,node_30,price_taking,0.007353,0.108366,0.000373,0.000186,0.000186
task_6,0.370265,crp_1,node_1,price_setting,0.081739,3.340451,0.00306,0.002778,0.000282
task_6,0.370265,crp_2,node_2,price_setting,0.076801,3.38092,0.002734,0.002478,0.000256
task_6,0.370265,crp_3,node_3,price_taking,0.013261,0.086166,0.000423,0.000212,0.000212
task_6,0.370265,crp_4,node_4,price_setting,0.078796,3.462193,0.002947,0.002663,0.000284
task_6,0.370265,crp_5,node_5,price_taking,0.011987,0.08247,0.000366,0.000183,0.000183
task_6,0.370265,crp_6,node_6,price_taking,0.01282,0.090645,0.00043,0.000215,0.000215
task_6,0.370265,crp_7,node_7,price_setting,0.077386,3.584874,0.002943,0.002648,0.000295
task_6,0.370265,crp_8,node_8,price_taking,0.011564,0.08619,0.000369,0.000185,0.000185
task_6,0.370265,crp_9,node_9,price_taking,0.011821,0.09036,0.000395,0.000198,0.000198
task_6,0.370265,crp_10,node_10,price_taking,0.010375,0.081291,0.000312,0.000156,0.000156
task_6,0.370265,crp_11,node_11,price_taking,0.011115,0.089211,0.000367,0.000184,0.000184
task_6,0.370265,crp_12,node_12,price_taking,0.010054,0.082617,0.000308,0.000154,0.000154
task_6,0.370265,crp_13,node_13,price_taking,0.010432,0.087719,0.000339,0.000169,0.000169
task_6,0.370265,crp_14,node_14,price_taking,0.009308,0.08005,0.000276,0.000138,0.000138
task_6,0.370265,crp_15,node_15,price_setting,0.06588,3.916592,0.00233,0.002073,0.000257
task_6,0.370265,crp_16,node_16,price_taking,0.009684,0.086979,0.000312,0.000156,0.000156
task_6,0.370265,crp_17,node_17,price_taking,0.009165,0.08407,0.000285,0.000143,0.000143
task_6,0.370265,crp_18,node_18,price_taking,0.009232,0.08645,0.000296,0.000148,0.000148
task_6,0.370265,crp_19,node_19,price_taking,0.008929,0.085323,0.000282,0.000141,0.000141
task_6,0.370265,crp_20,node_20,price_setting,0.067583,4.127312,0.002584,0.002283,0.000302
task_6,0.370265,crp_21,node_21,price_setting,0.06452,4.169763,0.00238,0.002099,0.000281
task_6,0.370265,crp_22,node_22,price_taking,0.008986,0.091019,0.000303,0.000151,0.000151
task_6,0.370265,crp_23,node_23,price_taking,0.008838,0.091203,0.000298,0.000149,0.000149
task_6,0.370265,crp_24,node_24,price_setting,0.062271,4.297752,0.002285,0.002006,0.000278
task_6,0.370265,crp_25,node_25,price_taking,0.008056,0.086218,0.000257,0.000129,0.000129
task_6,0.370265,crp_26,node_26,price_taking,0.00795,0.086594,0.000255,0.000127,0.000127
task_6,0.370265,crp_27,node_27,price_setting,0.061537,4.426679,0.002298,0.00201,0.000288
task_6,0.370265,crp_28,node_28,price_setting,0.057773,4.469858,0.002045,0.001786,0.000259
task_6,0.370265,crp_29,node_29,price_setting,0.061799,4.513151,0.002363,0.002061,0.000302
task_6,0.370265,crp_30,node_30,price_taking,0.006937,0.080865,0.000208,0.000104,0.000104
task_7,0.823055,crp_1,node_1,price_setting,0.073075,3.340675,0.012085,0.010969,0.001116
task_7,0.823055,crp_2,node_2,price_setting,0.071181,3.381137,0.011605,0.010518,0.001087
task_7,0.823055,crp_3,node_3,price_taking,0.013319,0.192377,0.002109,0.001054,0.001054
task_7,0.823055,crp_4,node_4,price_setting,0.070488,3.462399,0.011654,0.010532,0.001122
task_7,0.823055,crp_5,node_5,price_taking,0.012441,0.190263,0.001948,0.000974,0.000974
task_7,0.823055,crp_6,node_6,price_taking,0.012403,0.194939,0.00199,0.000995,0.000995
task_7,0.823055,crp_7,node_7,price_setting,0.068407,3.585065,0.011365,0.010226,0.001139
task_7,0.823055,crp_8,node_8,price_taking,0.011613,0.19239,0.001839,0.000919,0.000919
task_7,0.823055,crp_9,node_9,price_taking,0.011463,0.194775,0.001838,0.000919,0.000919
task_7,0.823055,crp_10,node_10,price_taking,0.010885,0.189587,0.001699,0.000849,0.000849
task_7,0.823055,crp_11,node_11,price_taking,0.01088,0.194117,0.001738,0.000869,0.000869
task_7,0.823055,crp_12,node_12,price_taking,0.01042,0.190345,0.001633,0.000816,0.000816
task_7,0.823055,crp_13,node_13,price_taking,0.01034,0.193264,0.001645,0.000822,0.000822
task_7,0.823055,crp_14,node_14,price_taking,0.009881,0.188877,0.001536,0.000768,0.000768
task_7,0.823055,crp_15,node_15,price_setting,0.06134,3.916747,0.009983,0.00888,0.001103
task_7,0.823055,crp_16,node_16,price_taking,0.009659,0.192839,0.001533,0.000766,0.000766
task_7,0.823055,crp_17,node_17,price_taking,0.009376,0.191175,0.001475,0.000738,0.000738
task_7,0.823055,crp_18,node_18,price_taking,0.00925,0.192537,0.001466,0.000733,0.000733
task_7,0.823055,crp_19,node_19,price_taking,0.009034,0.191891,0.001427,0.000713,0.000713
task_7,0.823055,crp_20,node_20,price_setting,0.059512,4.12745,0.009903,0.008746,0.001157
task_7,0.823055,crp_21,node_21,price_setting,0.058295,4.169898,0.009599,0.008466,0.001134
task_7,0.823055,crp_22,node_22,price_taking,0.008668,0.195149,0.001392,0.000696,0.000696
task_7,0.823055,crp_23,node_23,price_taking,0.008512,0.195253,0.001368,0.000684,0.000684
task_7,0.823055,crp_24,node_24,price_setting,0.056475,4.297877,0.009286,0.008154,0.001131
task_7,0.823055,crp_25,node_25,price_taking,0.008088,0.192402,0.001281,0.00064,0.00064
task_7,0.823055,crp_26,node_26,price_taking,0.007955,0.192616,0.001261,0.000631,0.000631
task_7,0.823055,crp_27,node_27,price_setting,0.055108,4.426796,0.009107,0.007964,0.001143
task_7,0.823055,crp_28,node_28,price_setting,0.05376,4.469972,0.008751,0.007642,0.00111
task_7,0.823055,crp_29,node_29,price_setting,0.054423,4.513263,0.009056,0.007896,0.001159
task_7,0.823055,crp_30,node_30,price_taking,0.007307,0.189338,0.001139,0.000569,0.000569
task_8,0.38965,crp_1,node_1,price_setting,0.081252,3.340458,0.003348,0.003039,0.000309
task_8,0.38965,crp_2,node_2,price_setting,0.077009,3.380927,0.003044,0.002759,0.000285
task_8,0.38965,crp_3,node_3,price_taking,0.013569,0.092782,0.000491,0.000245,0.000245
task_8,0.38965,crp_4,node_4,price_setting,0.078339,3.4622,0.003226,0.002915,0.00031
task_8,0.38965,crp_5,node_5,price_taking,0.012372,0.089571,0.000432,0.000216,0.000216
task_8,0.38965,crp_6,node_6,price_taking,0.012992,0.096675,0.000489,0.000245,0.000245
task_8,0.38965,crp_7,node_7,price_setting,0.07672,3.58488,0.003204,0.002883,0.000321
task_8,0.38965,crp_8,node_8,price_taking,0.011832,0.092803,0.000428,0.000214,0.000214
task_8,0.38965,crp_9,node_9,price_taking,0.011987,0.096427,0.00045,0.000225,0.000225
task_8,0.38965,crp_10,node_10,price_taking,0.010739,0.088546,0.000371,0.000185,0.000185
task_8,0.38965,crp_11,node_11,price_taking,0.011298,0.095428,0.00042,0.00021,0.00021
task_8,0.38965,crp_12,node_12,price_taking,0.010372,0.089698,0.000363,0.000181,0.000181
task_8,0.38965,crp_13,node_13,price_taking,0.010638,0.094133,0.00039,0.000195,0.000195
task_8,0.38965,crp_14,node_14,price_taking,0.009665,0.087467,0.000329,0.000165,0.000165
task_8,0.38965,crp_15,node_15,price_setting,0.066134,3.916598,0.002601,0.002313,0.000287
task_8,0.38965,crp_16,node_16,price_taking,0.009891,0.093489,0.00036,0.00018,0.00018
task_8,0.38965,crp_17,node_17,price_taking,0.009423,0.090961,0.000334,0.000167,0.000167
task_8,0.38965,crp_18,node_18,price_taking,0.00944,0.09303,0.000342,0.000171,0.000171
task_8,0.38965,crp_19,node_19,price_taking,0.009154,0.09205,0.000328,0.000164,0.000164
task_8,0.38965,crp_20,node_20,price_setting,0.066942,4.127316,0.002808,0.00248,0.000328
task_8,0.38965,crp_21,node_21,price_setting,0.064299,4.169768,0.002617,0.002308,0.000309
task_8,0.38965,crp_22,node_22,price_taking,0.0091,0.097,0.000344,0.000172,0.000172
task_8,0.38965,crp_23,node_23,price_taking,0.008947,0.09716,0.000339,0.000169,0.000169
task_8,0.38965,crp_24,node_24,price_setting,0.062114,4.297756,0.002518,0.002211,0.000307
task_8,0.38965,crp_25,node_25,price_taking,0.008242,0.092828,0.000298,0.000149,0.000149
task_8,0.38965,crp_26,node_26,price_taking,0.008126,0.093154,0.000295,0.000147,0.000147
task_8,0.38965,crp_27,node_27,price_setting,0.061196,4.426682,0.002517,0.002201,0.000316
task_8,0.38965,crp_28,node_28,price_setting,0.057987,4.469862,0.002282,0.001993,0.000289
task_8,0.38965,crp_29,node_29,price_setting,0.061213,4.513154,0.002568,0.002239,0.000329
task_8,0.38965,crp_30,node_30,price_taking,0.007188,0.088175,0.000247,0.000123,0.000123
task_9,0.563408,crp_1,node_1,price_setting,0.074278,3.34052,0.00585,0.00531,0.00054
task_9,0.563408,crp_2,node_2,price_setting,0.071783,3.380988,0.00553,0.005013,0.000518
task_9,0.563408,crp_3,node_3,price_taking,0.013208,0.130588,0.000972,0.000486,0.000486
task_9,0.563408,crp_4,node_4,price_setting,0.071641,3.462257,0.005641,0.005098,0.000543
task_9,0.563408,crp_5,node_5,price_taking,0.012256,0.128307,0.000886,0.000443,0.000443
task_9,0.563408,crp_6,node_6,price_taking,0.012394,0.133353,0.000931,0.000466,0.000466
task_9,0.563408,crp_7,node_7,price_setting,0.069713,3.584932,0.00553,0.004976,0.000554
task_9,0.563408,crp_8,node_8,price_taking,0.011516,0.130603,0.000847,0.000424,0.000424
task_9,0.563408,crp_9,node_9,price_taking,0.011449,0.133177,0.000859,0.00043,0.00043
task_9,0.563408,crp_10,node_10,price_taking,0.010701,0.127578,0.000769,0.000385,0.000385
task_9,0.563408,crp_11,node_11,price_taking,0.010846,0.132467,0.000809,0.000405,0.000405
task_9,0.563408,crp_12,node_12,price_taking,0.010268,0.128397,0.000743,0.000371,0.000371
task_9,0.563408,crp_13,node_13,price_taking,0.010281,0.131547,0.000762,0.000381,0.000381
task_9,0.563408,crp_14,node_14,price_taking,0.009691,0.126812,0.000692,0.000346,0.000346
task_9,0.563408,crp_15,node_15,price_setting,0.061802,3.916641,0.004749,0.004224,0.000525
task_9,0.563408,crp_16,node_16,price_taking,0.009592,0.131089,0.000708,0.000354,0.000354
task_9,0.563408,crp_17,node_17,price_taking,0.009263,0.129294,0.000675,0.000337,0.000337
task_9,0.563408,crp_18,node_18,price_taking,0.009177,0.130763,0.000676,0.000338,0.000338
task_9,0.563408,crp_19,node_19,price_taking,0.008946,0.130067,0.000656,0.000328,0.000328
task_9,0.563408,crp_20,node_20,price_setting,0.060703,4.127354,0.004828,0.004264,0.000564
task_9,0.563408,crp_21,node_21,price_setting,0.059121,4.169805,0.004626,0.00408,0.000546
task_9,0.563408,crp_22,node_22,price_taking,0.008668,0.133583,0.000652,0.000326,0.000326
task_9,0.563408,crp_23,node_23,price_taking,0.008514,0.133697,0.000641,0.000321,0.000321
task_9,0.563408,crp_24,node_24,price_setting,0.057228,4.297791,0.004468,0.003924,0.000544
task_9,0.563408,crp_25,node_25,price_taking,0.008021,0.13062,0.00059,0.000295,0.000295
task_9,0.563408,crp_26,node_26,price_taking,0.007894,0.130851,0.000582,0.000291,0.000291
task_9,0.563408,crp_27,node_27,price_setting,0.055999,4.426715,0.004406,0.003853,0.000553
task_9,0.563408,crp_28,node_28,price_setting,0.054172,4.469894,0.004164,0.003636,0.000528
task_9,0.563408,crp_29,node_29,price_setting,0.05551,4.513185,0.004414,0.003849,0.000565
task_9,0.563408,crp_30,node_30,price_taking,0.007177,0.127315,0.000515,0.000257,0.000257
task_10,0.781949,crp_1,node_1,price_setting,0.0708,3.340629,0.010239,0.009294,0.000945
task_10,0.781949,crp_2,node_2,price_setting,0.069537,3.381097,0.009997,0.009061,0.000936
task_10,0.781949,crp_3,node_3,price_taking,0.013238,0.181644,0.00188,0.00094,0.00094
task_10,0.781949,crp_4,node_4,price_setting,0.068304,3.462357,0.009877,0.008926,0.000951
task_10,0.781949,crp_5,node_5,price_taking,0.012446,0.180827,0.00176,0.00088,0.00088
task_10,0.781949,crp_6,node_6,price_taking,0.012231,0.182636,0.001747,0.000873,0.000873
task_10,0.781949,crp_7,node_7,price_setting,0.066102,3.585024,0.009578,0.008618,0.00096
task_10,0.781949,crp_8,node_8,price_taking,0.011541,0.181651,0.001639,0.00082,0.00082
task_10,0.781949,crp_9,node_9,price_taking,0.011309,0.182574,0.001615,0.000807,0.000807
task_10,0.781949,crp_10,node_10,price_taking,0.010912,0.180567,0.001541,0.00077,0.00077
task_10,0.781949,crp_11,node_11,price_taking,0.010756,0.18232,0.001533,0.000767,0.000767
task_10,0.781949,crp_12,node_12,price_taking,0.010422,0.180861,0.001474,0.000737,0.000737
task_10,0.781949,crp_13,node_13,price_taking,0.010248,0.18199,0.001458,0.000729,0.000729
task_10,0.781949,crp_14,node_14,price_taking,0.009927,0.180293,0.0014,0.0007,0.0007
task_10,0.781949,crp_15,node_15,price_setting,0.059985,3.916719,0.008617,0.007665,0.000952
task_10,0.781949,crp_16,node_16,price_taking,0.009586,0.181827,0.001363,0.000681,0.000681
task_10,0.781949,crp_17,node_17,price_taking,0.009353,0.181184,0.001325,0.000663,0.000663
